emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
104209,Development,Utz,Cromarty,1963-10-07,1985-05-04,9999-01-01,Senior Engineer
104243,Sales,Mani,Besancenot,1962-08-13,1987-11-24,9999-01-01,Staff
104246,Development,Mohan,Ghemri,1963-02-24,1988-06-30,9999-01-01,Senior Engineer
104257,Production,Goa,Asser,1963-10-11,1985-08-10,9999-01-01,Technique Leader
104261,Production,Mabhin,Demeyer,1964-04-25,1986-08-28,9999-01-01,Senior Engineer
104276,Sales,Hongzhu,Gimbel,1963-12-13,1988-07-27,9999-01-01,Senior Staff
104300,Quality Management,Kellie,Deverell,1964-09-02,1988-01-05,9999-01-01,Assistant Engineer
104342,Human Resources,Takahito,Ligten,1964-07-09,1988-06-11,9999-01-01,Senior Staff
104348,Production,Sariel,Huttel,1963-09-18,1986-04-26,9999-01-01,Technique Leader
104408,Marketing,Bodh,Daescu,1964-03-29,1988-12-20,9999-01-01,Senior Staff
104444,Production,Jacopo,Danecki,1963-04-29,1987-11-05,9999-01-01,Engineer
104447,Production,Jahangir,Nitsche,1962-12-22,1986-10-19,9999-01-01,Senior Engineer
104495,Development,Herbert,Schicker,1963-07-08,1987-07-15,9999-01-01,Senior Engineer
104499,Marketing,Qunsheng,Bergere,1962-10-19,1985-11-03,9999-01-01,Senior Staff
104524,Development,Bikash,Guenter,1963-06-02,1988-01-01,9999-01-01,Senior Engineer
104552,Development,Khatoun,Lamma,1964-07-20,1988-05-30,9999-01-01,Technique Leader
104554,Development,Along,Simmen,1964-09-28,1985-08-21,9999-01-01,Senior Engineer
104580,Sales,Karoline,Spieker,1962-04-29,1986-11-17,9999-01-01,Senior Staff
104603,Marketing,Weiru,Soicher,1963-06-04,1988-04-30,9999-01-01,Senior Staff
104606,Sales,Gal,Strooper,1963-07-24,1985-06-14,9999-01-01,Senior Staff
104618,Marketing,Fumiya,Pollock,1963-06-12,1985-11-26,9999-01-01,Staff
104623,Production,Giap,Kuzuoka,1963-11-26,1986-05-23,9999-01-01,Senior Engineer
104657,Development,Kiyokazu,Waterhouse,1962-08-12,1987-11-08,9999-01-01,Engineer
104698,Development,Masako,Halevi,1962-10-23,1988-12-12,9999-01-01,Engineer
104701,Human Resources,Nahum,Lunt,1962-02-22,1986-02-20,9999-01-01,Senior Staff
104708,Production,Gregory,Matheson,1963-02-03,1985-05-07,9999-01-01,Senior Engineer
104709,Customer Service,Takahiro,Siegrist,1963-08-09,1985-04-29,9999-01-01,Staff
104716,Development,Kirk,Cools,1964-09-04,1987-11-16,9999-01-01,Senior Engineer
104733,Sales,Renee,Bernick,1964-11-18,1985-07-20,9999-01-01,Senior Staff
104750,Sales,Radhia,Pietracaprina,1964-08-20,1986-05-06,9999-01-01,Senior Staff
104790,Production,Makato,Dymetman,1963-02-25,1988-09-24,9999-01-01,Engineer
104825,Sales,Weidon,Suppi,1962-02-23,1985-10-24,9999-01-01,Staff
104837,Finance,Aloys,Ranai,1963-02-17,1988-03-19,9999-01-01,Staff
104851,Research,Val,Kropatsch,1963-08-17,1986-09-16,9999-01-01,Senior Staff
104881,Customer Service,Aamod,Nourani,1964-06-01,1987-03-01,9999-01-01,Senior Staff
104893,Development,Mechthild,Tischendorf,1962-05-16,1988-09-14,9999-01-01,Engineer
104895,Production,Nevin,Sankaranarayanan,1962-10-11,1987-06-07,9999-01-01,Senior Engineer
104901,Development,Chenxi,Murtha,1963-05-11,1985-04-19,9999-01-01,Engineer
104904,Sales,Ugo,Valtorta,1962-06-19,1988-03-04,9999-01-01,Senior Staff
104907,Development,Anyuan,Renear,1964-09-22,1986-08-02,9999-01-01,Engineer
104916,Marketing,Golgen,Akazan,1963-09-26,1985-12-02,9999-01-01,Senior Staff
104957,Human Resources,Nectarios,Bain,1963-07-09,1987-08-31,9999-01-01,Senior Staff
104975,Development,Utpal,Waeselynck,1962-03-08,1986-11-07,9999-01-01,Senior Engineer
104984,Development,Shichao,Yetim,1964-03-31,1985-02-11,9999-01-01,Engineer
104985,Development,Tokuyasu,Porotnikoff,1962-07-15,1988-05-25,9999-01-01,Technique Leader
105022,Finance,Yoshimitsu,Uchoa,1964-12-24,1988-05-04,9999-01-01,Senior Staff
105024,Production,Boutros,Demos,1963-12-22,1987-08-15,9999-01-01,Engineer
105064,Finance,Cheong,Schade,1963-08-10,1987-08-27,9999-01-01,Senior Staff
105082,Development,Achilleas,Knightly,1964-04-02,1988-02-16,9999-01-01,Engineer
105086,Customer Service,Kwan,Merli,1963-06-30,1987-09-09,9999-01-01,Senior Staff
105116,Development,Toshimitsu,Lambe,1962-07-28,1985-10-24,9999-01-01,Senior Engineer
105121,Sales,Jasminko,Vilarrasa,1962-01-19,1988-08-17,9999-01-01,Senior Staff
105165,Development,Mads,Jansch,1964-07-16,1986-10-19,9999-01-01,Senior Engineer
105181,Customer Service,Joydip,Delgrossi,1963-02-20,1988-06-09,9999-01-01,Senior Staff
105237,Sales,Sven,Wolniewicz,1964-10-23,1986-09-17,9999-01-01,Senior Staff
105258,Development,Waiman,Wilfing,1964-09-12,1986-04-25,9999-01-01,Senior Engineer
105273,Production,Alexius,Luft,1964-10-29,1987-07-24,9999-01-01,Technique Leader
105315,Development,Garnik,Dengi,1964-10-22,1986-11-12,9999-01-01,Engineer
105340,Marketing,Elvia,Winter,1964-11-19,1987-04-23,9999-01-01,Senior Staff
105381,Research,Kish,Driscoll,1964-10-20,1987-03-26,9999-01-01,Senior Staff
105392,Development,Tiina,Wiegley,1963-09-22,1985-03-28,9999-01-01,Engineer
105409,Research,Mabo,Krohn,1964-06-30,1988-06-04,9999-01-01,Senior Staff
105419,Production,Marjo,Limongiello,1962-08-18,1986-11-06,9999-01-01,Senior Engineer
105458,Finance,Fay,Tibblin,1963-12-15,1988-07-11,9999-01-01,Staff
105467,Human Resources,Olivera,Uhrik,1963-09-14,1986-12-17,9999-01-01,Senior Staff
105475,Marketing,Mariangiola,Impagliazzo,1962-01-11,1988-10-31,9999-01-01,Staff
105495,Development,Shuji,Theuretzbacher,1962-07-28,1986-06-01,9999-01-01,Engineer
105501,Sales,Murthy,Luca,1963-10-14,1986-06-05,9999-01-01,Senior Staff
105520,Sales,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
105526,Finance,Yefim,Ohori,1963-09-23,1988-11-18,9999-01-01,Senior Staff
105530,Customer Service,Bowen,Hiroyama,1963-07-07,1988-11-22,9999-01-01,Staff
105537,Customer Service,Junsik,Chartres,1964-02-29,1986-10-25,9999-01-01,Senior Staff
105571,Finance,Geoff,Meszaros,1962-03-02,1987-07-22,9999-01-01,Senior Staff
105578,Development,Sanjai,Heiserman,1963-02-22,1986-01-13,9999-01-01,Engineer
105607,Development,Bangqing,Leijenhorst,1962-02-13,1987-05-17,9999-01-01,Senior Engineer
105685,Sales,Hatim,Melski,1963-02-05,1985-09-12,9999-01-01,Staff
105713,Research,Rutger,Maraist,1963-01-24,1985-03-28,9999-01-01,Staff
105744,Development,Dayanand,Riexinger,1964-10-18,1987-10-25,9999-01-01,Engineer
105811,Production,Kenroku,Schreiter,1964-07-19,1986-08-11,9999-01-01,Senior Engineer
105838,Production,Sudharsan,Glinert,1964-06-27,1988-07-08,9999-01-01,Engineer
105851,Marketing,Hideyuki,Gronowski,1962-11-12,1985-08-09,9999-01-01,Senior Staff
105867,Production,Tadanori,Prochazka,1963-12-13,1987-08-24,9999-01-01,Engineer
105890,Research,Pranas,Baumann,1963-04-25,1987-10-12,9999-01-01,Senior Staff
105898,Development,Duke,Lowrie,1962-11-01,1988-11-27,9999-01-01,Senior Engineer
105917,Research,Zhigen,England,1964-08-31,1986-01-04,9999-01-01,Staff
105990,Production,Guenter,Felder,1963-10-28,1987-10-07,9999-01-01,Technique Leader
105995,Research,Constantijn,Fioravanti,1962-07-30,1987-06-22,9999-01-01,Senior Staff
106034,Development,Tesuya,Wossner,1962-10-04,1988-10-28,9999-01-01,Engineer
106041,Quality Management,Radhia,Welham,1962-09-01,1988-10-08,9999-01-01,Senior Engineer
106054,Production,Eran,Tokunaga,1962-12-22,1988-07-12,9999-01-01,Assistant Engineer
106058,Sales,Yannis,Polupanov,1962-04-14,1988-04-15,9999-01-01,Staff
106061,Production,Bedrich,Driscoll,1962-02-07,1985-12-24,9999-01-01,Engineer
106064,Sales,Djenana,Shumilov,1964-12-23,1988-02-22,9999-01-01,Senior Staff
106067,Development,Vojin,Vernadat,1962-03-06,1985-11-27,9999-01-01,Senior Engineer
106114,Development,Alair,Kalsbeek,1962-11-21,1985-05-16,9999-01-01,Senior Engineer
106125,Production,Taiji,Walstra,1963-06-12,1986-11-04,9999-01-01,Senior Engineer
106150,Sales,Terresa,Shumilov,1962-01-22,1988-02-23,9999-01-01,Senior Staff
106155,Research,Rayond,Bahl,1963-03-29,1988-01-24,9999-01-01,Senior Staff
106234,Development,Rosli,Alameldin,1964-12-12,1988-02-09,9999-01-01,Engineer
106242,Human Resources,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Senior Staff
106251,Production,Sajjad,Laurillard,1962-12-04,1987-06-15,9999-01-01,Engineer
106327,Research,Turgut,Besselaar,1963-10-24,1985-05-12,9999-01-01,Senior Staff
106333,Production,Shigeaki,Azumi,1963-02-06,1985-02-03,9999-01-01,Senior Engineer
106348,Development,Luigi,Stifter,1964-01-30,1987-07-04,9999-01-01,Engineer
106352,Finance,Kiyokazu,Renear,1963-04-03,1988-03-27,9999-01-01,Senior Staff
106368,Development,Lijia,Randt,1963-07-09,1987-06-06,9999-01-01,Engineer
106369,Quality Management,Zhenbing,Gien,1963-05-05,1986-06-30,9999-01-01,Senior Engineer
106370,Human Resources,Venkatesan,Lorch,1962-12-09,1985-04-06,9999-01-01,Staff
106378,Sales,Adib,Seiwald,1962-04-13,1986-02-04,9999-01-01,Staff
106381,Marketing,Dayanand,Tyugu,1964-07-01,1986-11-03,9999-01-01,Senior Staff
106391,Marketing,Bedrich,Moffat,1964-12-26,1988-10-13,9999-01-01,Senior Staff
106415,Research,Leah,Marquardt,1964-11-23,1985-09-22,9999-01-01,Senior Staff
106429,Development,Masanao,Luca,1962-12-01,1988-12-27,9999-01-01,Engineer
106430,Production,Yongmin,Rebaine,1962-09-07,1987-11-11,9999-01-01,Engineer
106436,Production,Shigenori,Haraldson,1962-08-02,1988-11-15,9999-01-01,Engineer
106445,Production,Mircea,Rathonyi,1962-02-18,1986-03-15,9999-01-01,Senior Engineer
106459,Production,Theron,Geffroy,1962-11-01,1988-06-08,9999-01-01,Engineer
106474,Production,Marjo,Koyama,1963-07-02,1987-12-09,9999-01-01,Engineer
106479,Customer Service,Baziley,Mapelli,1962-12-25,1988-01-03,9999-01-01,Senior Staff
106579,Development,Claude,Mahnke,1962-02-07,1985-02-25,9999-01-01,Engineer
106599,Research,Tadanori,Nitsche,1963-06-18,1986-07-12,9999-01-01,Senior Staff
106608,Development,Boguslaw,Chiodo,1963-07-18,1988-04-11,9999-01-01,Engineer
106615,Human Resources,Jaber,Rande,1963-12-12,1985-09-03,9999-01-01,Senior Staff
106632,Development,Otmar,Jeong,1964-06-24,1987-07-22,9999-01-01,Senior Engineer
106666,Marketing,Zhonghui,Hellwagner,1963-05-31,1988-08-30,9999-01-01,Staff
106695,Development,Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01,Staff
106710,Marketing,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Senior Staff
106741,Sales,Tomoyuki,Goldhammer,1963-06-12,1987-12-01,9999-01-01,Senior Staff
106765,Marketing,Zvonko,Salvesen,1962-05-17,1988-07-08,9999-01-01,Senior Staff
106792,Development,Garnet,Heystek,1962-02-04,1986-09-07,9999-01-01,Technique Leader
106865,Human Resources,Chaoyi,Stassinopoulos,1963-07-12,1987-12-30,9999-01-01,Staff
106873,Sales,Joydip,Chinal,1964-11-28,1985-11-28,9999-01-01,Staff
106962,Sales,Lansing,Pleszkun,1964-09-30,1985-06-01,9999-01-01,Staff
106989,Production,Turgut,Anido,1964-05-04,1986-03-14,9999-01-01,Engineer
107008,Finance,Kankanahalli,Alblas,1962-06-06,1985-04-03,9999-01-01,Senior Staff
107021,Production,Dung,Zongker,1962-04-23,1986-05-29,9999-01-01,Technique Leader
107078,Production,Ranga,Sundgren,1962-07-22,1988-05-30,9999-01-01,Engineer
107081,Research,Martine,Brendel,1964-05-07,1988-07-01,9999-01-01,Staff
107083,Customer Service,Fayez,Lanzelotte,1963-02-13,1986-10-27,9999-01-01,Senior Staff
107098,Sales,Florina,Verhoeff,1963-06-25,1986-10-06,9999-01-01,Senior Staff
107124,Production,Mark,Piazza,1963-02-23,1985-12-03,9999-01-01,Engineer
107147,Production,Ger,Collette,1964-06-05,1987-10-31,9999-01-01,Engineer
107158,Production,Aruna,Lorho,1964-10-26,1988-11-06,9999-01-01,Engineer
107179,Production,Seshu,Nitto,1964-02-16,1986-08-03,9999-01-01,Engineer
107191,Human Resources,Shahaf,Thiria,1963-07-20,1985-09-12,9999-01-01,Staff
107206,Development,Laurentiu,Randt,1964-08-11,1988-02-01,9999-01-01,Technique Leader
107217,Quality Management,Mansur,Mitina,1963-10-31,1988-09-13,9999-01-01,Engineer
107263,Research,Yurij,Sinicrope,1963-11-01,1985-09-22,9999-01-01,Staff
107274,Customer Service,Jinya,Porotnikoff,1962-07-21,1986-03-14,9999-01-01,Senior Staff
107283,Development,Murthy,Acton,1962-09-11,1985-07-07,9999-01-01,Senior Engineer
107284,Finance,Barton,Baaz,1962-09-08,1988-10-18,9999-01-01,Staff
107299,Human Resources,Nathan,McDermid,1962-02-23,1988-08-17,9999-01-01,Staff
107300,Development,Berhard,Laurillard,1964-12-10,1986-02-21,9999-01-01,Senior Engineer
107324,Development,Gregory,Grandbois,1962-11-08,1985-04-03,9999-01-01,Engineer
107342,Quality Management,Dharmaraja,Viele,1962-08-23,1988-08-13,9999-01-01,Senior Engineer
107343,Sales,Guttorm,Baer,1964-08-29,1985-07-30,9999-01-01,Senior Staff
107363,Production,Gilbert,Dechter,1964-04-13,1987-01-04,9999-01-01,Engineer
107402,Research,Mabo,Roccetti,1962-12-06,1987-11-14,9999-01-01,Senior Staff
107410,Marketing,Weiyi,Pfau,1962-09-22,1986-12-24,9999-01-01,Senior Staff
107411,Production,Keung,Szmurlo,1964-03-01,1987-01-08,9999-01-01,Senior Engineer
107486,Development,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
107523,Development,Hein,Anandan,1962-04-06,1985-02-05,9999-01-01,Senior Engineer
107542,Research,Oscar,Serna,1962-04-30,1987-08-06,9999-01-01,Senior Staff
107565,Production,Radoslaw,Mandelberg,1964-02-03,1988-06-05,9999-01-01,Senior Engineer
107581,Production,Kendra,Bazzichi,1962-03-10,1986-03-26,9999-01-01,Engineer
107589,Sales,Subbu,Sidje,1962-04-16,1988-04-13,9999-01-01,Senior Staff
107632,Production,Fumino,Schahn,1962-09-15,1986-09-09,9999-01-01,Engineer
107635,Research,Sachio,Baba,1963-10-10,1985-02-05,9999-01-01,Senior Staff
107639,Production,Ingemar,Crabtree,1962-03-26,1987-03-14,9999-01-01,Engineer
107659,Research,Laurentiu,Swift,1963-11-26,1988-10-16,9999-01-01,Staff
107733,Research,Conal,Lovengreen,1963-02-01,1986-07-08,9999-01-01,Senior Staff
107736,Research,Khun,Heinisuo,1962-11-12,1987-10-19,9999-01-01,Engineer
107757,Customer Service,George,Schnabel,1963-01-17,1987-05-26,9999-01-01,Senior Staff
107824,Marketing,Radhakrishnan,Papastamatiou,1962-10-22,1988-02-28,9999-01-01,Staff
107829,Quality Management,Arfst,Beetstra,1962-12-28,1986-04-20,9999-01-01,Senior Engineer
107910,Production,Sasan,Rassart,1962-03-09,1987-05-11,9999-01-01,Senior Engineer
107911,Sales,Yagil,Jervis,1964-03-13,1985-07-21,9999-01-01,Senior Staff
107921,Production,Fabrizio,Lubachevsky,1963-06-20,1985-03-04,9999-01-01,Engineer
107922,Quality Management,Kiyokazu,Rohrbach,1962-12-30,1987-04-07,9999-01-01,Senior Engineer
107928,Production,Taizo,Deverell,1964-01-19,1988-05-19,9999-01-01,Senior Engineer
107940,Finance,Jeanne,Servieres,1962-09-04,1987-11-02,9999-01-01,Senior Staff
107974,Customer Service,Jacopo,Tanemo,1962-10-13,1988-11-17,9999-01-01,Staff
107991,Development,Kendra,Gurbaxani,1964-03-26,1986-04-12,9999-01-01,Senior Engineer
108013,Development,Odysseas,Kriebel,1963-01-05,1988-02-28,9999-01-01,Engineer
108057,Development,Hitomi,Jiafu,1964-11-01,1985-05-10,9999-01-01,Senior Engineer
108069,Production,Yoshinari,Gimbel,1964-05-24,1985-11-27,9999-01-01,Engineer
108087,Development,Shay,Vecchio,1963-08-13,1987-07-02,9999-01-01,Engineer
108090,Production,Lucian,Cyre,1963-04-13,1986-10-20,9999-01-01,Senior Engineer
108091,Customer Service,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Staff
108102,Sales,Angus,Ranum,1963-06-01,1988-08-22,9999-01-01,Staff
108133,Production,Masami,Stentiford,1962-05-25,1986-01-07,9999-01-01,Senior Engineer
108165,Development,Salvador,Staylopatis,1962-06-15,1985-11-13,9999-01-01,Technique Leader
108224,Development,Niteen,Demian,1963-12-26,1987-01-18,9999-01-01,Senior Engineer
108280,Development,Elzbieta,Thebaut,1964-01-24,1987-11-24,9999-01-01,Senior Engineer
108323,Development,Marsja,Unno,1963-12-15,1986-08-07,9999-01-01,Technique Leader
108334,Development,Kiyotoshi,Bouloucos,1963-12-22,1986-08-03,9999-01-01,Technique Leader
108336,Development,Qunsheng,Remmele,1964-04-16,1988-09-08,9999-01-01,Engineer
108343,Research,Navid,Range,1962-08-15,1985-11-28,9999-01-01,Staff
108351,Sales,Herbert,Velardi,1963-02-09,1988-09-17,9999-01-01,Staff
108356,Sales,Junsik,Panwar,1964-02-08,1985-10-07,9999-01-01,Senior Staff
108361,Development,Reinhold,Billawala,1962-04-16,1987-10-26,9999-01-01,Senior Engineer
108366,Human Resources,Chikara,Iisaku,1962-11-25,1986-06-28,9999-01-01,Senior Staff
108376,Research,Ronnie,Solovay,1963-01-03,1988-04-17,9999-01-01,Senior Staff
108377,Production,Margo,Giaccio,1962-11-16,1988-11-17,9999-01-01,Engineer
108393,Development,Arup,Conta,1963-12-18,1985-04-22,9999-01-01,Senior Engineer
108422,Development,Mohd,Rebaine,1962-08-08,1986-03-16,9999-01-01,Senior Engineer
108454,Production,Tsz,Nanard,1964-08-30,1986-04-28,9999-01-01,Senior Engineer
108516,Production,Arvin,Rusmann,1964-11-15,1988-06-07,9999-01-01,Engineer
108519,Human Resources,Stella,Ballarin,1963-11-23,1986-07-21,9999-01-01,Senior Staff
108526,Development,Guadalupe,Lorch,1962-06-23,1986-07-01,9999-01-01,Senior Engineer
108546,Production,Noritoshi,Katzenelson,1962-11-06,1988-05-23,9999-01-01,Senior Engineer
108571,Development,Luerbio,Koshiba,1964-11-23,1988-03-05,9999-01-01,Engineer
108593,Sales,Pradeep,Kushnir,1962-08-08,1986-02-01,9999-01-01,Staff
108604,Production,Yakkov,Papsdorf,1962-05-15,1988-01-27,9999-01-01,Senior Engineer
108620,Production,Radhakrishnan,Cullers,1962-10-03,1986-09-16,9999-01-01,Technique Leader
108724,Production,Xiaoheng,Madeira,1964-12-01,1985-07-08,9999-01-01,Engineer
108783,Development,Hironobu,Jonsson,1962-05-18,1987-08-21,9999-01-01,Technique Leader
108813,Production,Marla,Baar,1963-04-02,1986-06-16,9999-01-01,Senior Engineer
108866,Development,Tooru,Conia,1962-08-19,1987-06-24,9999-01-01,Engineer
108882,Production,Jinxi,Heemskerk,1963-08-24,1985-05-09,9999-01-01,Engineer
108938,Research,Ronghao,Peris,1963-07-30,1985-08-26,9999-01-01,Staff
108944,Marketing,Eric,Chenney,1962-05-21,1988-12-17,9999-01-01,Staff
109038,Development,Goh,Budinsky,1962-06-18,1987-04-09,9999-01-01,Engineer
109044,Development,Kannan,Radwan,1964-11-05,1985-05-10,9999-01-01,Senior Engineer
109048,Finance,Kristin,Liedekerke,1962-06-03,1988-10-13,9999-01-01,Staff
109064,Development,Kristin,Trumbly,1962-09-29,1988-07-17,9999-01-01,Engineer
109084,Finance,Jiang,Vesel,1962-06-23,1987-11-24,9999-01-01,Senior Staff
109103,Development,Fay,Kornatzky,1962-09-19,1986-08-08,9999-01-01,Engineer
109110,Sales,Isaac,Bael,1963-04-24,1985-09-05,9999-01-01,Senior Staff
109113,Customer Service,Torsten,Randt,1962-11-27,1986-11-15,9999-01-01,Senior Staff
109179,Finance,Kwangsub,Passafiume,1964-10-08,1985-02-09,9999-01-01,Senior Staff
109188,Development,Insup,Deverell,1964-02-26,1987-09-29,9999-01-01,Senior Engineer
109203,Quality Management,Eishiro,Munro,1964-02-29,1988-12-15,9999-01-01,Engineer
109210,Development,Siamak,Marrevee,1962-03-17,1986-05-09,9999-01-01,Engineer
109238,Development,Diederik,Cochrane,1964-11-09,1986-09-26,9999-01-01,Senior Engineer
109249,Production,Zsolt,Condotta,1962-01-25,1986-04-01,9999-01-01,Technique Leader
109250,Sales,Kristinn,Matzen,1964-12-08,1985-10-16,9999-01-01,Staff
109268,Marketing,Chriss,Massonet,1962-01-14,1988-04-18,9999-01-01,Staff
109278,Finance,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Senior Staff
109282,Development,Satosi,Hebert,1963-10-24,1985-07-12,9999-01-01,Technique Leader
109298,Quality Management,Hairong,Menyhert,1963-02-25,1988-11-01,9999-01-01,Senior Engineer
109313,Development,Danel,Ravishankar,1962-07-24,1987-12-26,9999-01-01,Senior Engineer
109340,Development,Mayumi,Levasseur,1963-06-02,1985-09-30,9999-01-01,Engineer
109363,Quality Management,Gian,Chleq,1964-08-03,1988-11-28,9999-01-01,Engineer
109396,Development,Mats,Velardi,1964-01-10,1986-03-03,9999-01-01,Technique Leader
109398,Development,Danel,Gente,1964-06-14,1985-03-23,9999-01-01,Technique Leader
109431,Finance,Minghong,Bazelow,1962-09-14,1986-03-31,9999-01-01,Senior Staff
109450,Production,Shao,Itzigehl,1962-03-05,1988-05-08,9999-01-01,Engineer
109462,Sales,Rafols,Shokrollahi,1963-05-11,1986-11-22,9999-01-01,Staff
109464,Customer Service,Sandeepan,Hemaspaandra,1964-09-18,1986-06-08,9999-01-01,Staff
109469,Development,Georg,Felder,1964-07-09,1986-01-02,9999-01-01,Senior Engineer
109474,Production,Amalendu,Auyong,1962-02-08,1987-07-26,9999-01-01,Senior Engineer
109477,Development,Mohan,Piveteau,1962-11-23,1986-08-04,9999-01-01,Senior Engineer
109488,Research,Tetsurou,Pettit,1963-08-28,1986-10-17,9999-01-01,Senior Staff
109489,Finance,Zvonko,Zambonelli,1962-11-09,1987-04-11,9999-01-01,Senior Staff
109497,Research,Make,Bauknecht,1962-10-03,1988-04-19,9999-01-01,Staff
109500,Sales,Dzung,Luef,1962-02-21,1986-05-02,9999-01-01,Senior Staff
109516,Development,Navid,Sidou,1963-11-08,1985-09-25,9999-01-01,Senior Engineer
109546,Quality Management,Sungwon,Pramanik,1963-06-10,1988-02-03,9999-01-01,Senior Engineer
109590,Quality Management,Yannik,Reinhard,1962-02-07,1986-04-22,9999-01-01,Senior Engineer
109598,Finance,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Senior Staff
109637,Development,Yakkov,Eickenmeyer,1963-03-31,1985-11-23,9999-01-01,Engineer
109657,Production,Uma,Asmuth,1962-06-25,1987-06-16,9999-01-01,Senior Engineer
109668,Customer Service,Etsuo,Skogmar,1963-04-02,1988-03-18,9999-01-01,Senior Staff
109670,Development,Jouko,Bala,1962-06-20,1987-12-05,9999-01-01,Senior Engineer
109680,Development,Nahid,Murtagh,1964-02-16,1986-12-02,9999-01-01,Senior Engineer
109694,Production,Along,Erie,1962-09-27,1985-10-24,9999-01-01,Engineer
109722,Production,Maik,Merlo,1963-08-30,1988-09-06,9999-01-01,Engineer
109728,Production,Huai,Tibblin,1964-07-17,1987-12-23,9999-01-01,Engineer
109750,Production,Tamiya,Pappas,1962-08-21,1985-04-12,9999-01-01,Technique Leader
109769,Development,Muzhong,Barbanera,1962-01-12,1986-07-29,9999-01-01,Senior Engineer
109828,Marketing,Kasturi,Schrooten,1963-08-11,1987-08-12,9999-01-01,Senior Staff
109854,Human Resources,Aluzio,Leivant,1964-11-16,1986-02-22,9999-01-01,Senior Staff
109861,Development,Utpal,Kieras,1964-08-09,1988-06-20,9999-01-01,Senior Engineer
109873,Development,Owen,Peyn,1962-04-22,1987-07-03,9999-01-01,Engineer
109886,Sales,Fan,Schaaf,1963-06-26,1986-06-21,9999-01-01,Senior Staff
109892,Development,Qingxiang,Marciano,1963-05-16,1985-12-21,9999-01-01,Engineer
109893,Quality Management,Bokyung,Perez,1962-10-17,1986-06-04,9999-01-01,Engineer
109953,Sales,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Senior Staff
109962,Development,Tetsushi,Speer,1964-06-22,1986-12-06,9999-01-01,Engineer
110039,Marketing,Vishwani,Minakawa,1963-06-21,1986-04-12,9999-01-01,Senior Staff
110567,Development,Leon,DasSarma,1964-04-25,1986-10-21,9999-01-01,Technique Leader
110800,Quality Management,Sanjoy,Quadeer,1963-02-07,1986-08-12,9999-01-01,Senior Engineer
111035,Sales,Przemyslawa,Kaelbling,1962-02-24,1985-01-01,9999-01-01,Manager
200064,Customer Service,Shigeu,Suermann,1964-09-25,1988-03-25,9999-01-01,Senior Staff
200065,Quality Management,Frederique,Marchesini,1963-11-04,1988-06-27,9999-01-01,Technique Leader
200094,Human Resources,Jasminko,Sadowsky,1963-02-06,1988-02-14,9999-01-01,Senior Staff
200231,Customer Service,Giri,Melter,1963-06-19,1987-11-03,9999-01-01,Senior Staff
200296,Development,Golgen,Shigei,1963-06-18,1986-07-28,9999-01-01,Senior Engineer
200325,Marketing,Hitomi,Valette,1963-08-22,1986-04-07,9999-01-01,Staff
200326,Development,Fayez,Chvatal,1964-06-21,1988-09-05,9999-01-01,Senior Engineer
200343,Development,Radhika,Kusakabe,1962-02-09,1986-05-31,9999-01-01,Engineer
200363,Development,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Engineer
200405,Marketing,Becky,Pintelas,1962-12-28,1985-11-16,9999-01-01,Staff
200416,Research,Almudena,Kornyak,1963-11-02,1988-12-29,9999-01-01,Senior Staff
200421,Production,Brendon,Masaki,1963-01-05,1986-11-26,9999-01-01,Assistant Engineer
200422,Marketing,Shaunak,Zirintsis,1962-01-09,1987-07-03,9999-01-01,Senior Staff
200450,Finance,Yongqiao,Birnbaum,1963-04-10,1985-09-30,9999-01-01,Senior Staff
200481,Finance,Valery,Klerer,1964-07-15,1985-12-20,9999-01-01,Senior Staff
200488,Sales,Aiman,Kulisch,1962-09-24,1988-11-09,9999-01-01,Staff
200519,Sales,Zhenhua,Janocha,1964-10-11,1985-05-03,9999-01-01,Senior Staff
200545,Quality Management,Mostafa,Cooley,1964-12-24,1985-10-17,9999-01-01,Engineer
200548,Sales,Xuedong,Eiter,1964-09-07,1986-11-11,9999-01-01,Senior Staff
200566,Development,Mari,Facello,1963-05-06,1986-12-03,9999-01-01,Engineer
200580,Research,Roselyn,Rullman,1962-02-18,1988-02-15,9999-01-01,Senior Staff
200609,Development,Gennadi,Scallan,1964-03-15,1988-11-03,9999-01-01,Engineer
200619,Finance,Hyuckchul,Luef,1962-04-05,1988-08-22,9999-01-01,Senior Staff
200643,Quality Management,Kitty,Dechter,1964-05-26,1987-02-01,9999-01-01,Engineer
200649,Production,Zorica,Gammage,1962-01-01,1985-11-05,9999-01-01,Senior Engineer
200663,Human Resources,Amstein,McFarlan,1964-03-15,1985-10-25,9999-01-01,Staff
